order_id,refund_id,customer_id,customer_name,customer_email,refund_status,refund_amount,refund_reason,refund_date
cb2af769-590c-4df6-9463-0900b75440ff,9100000000001,00ff51b5-a028-4151-adc9-6d4cb0ae64da,Customer 152,customer152@test.com,success,21.53,damaged,2026-01-22 09:42:28.849518
32f452e2-c266-4315-ac2d-a93a00812223,9100000000002,0227e815-ac9d-44fa-b6ad-84e4dc3d09e4,Customer 892,customer892@test.com,success,83.13,not_as_described,2025-10-13 14:42:00.083510
663e11d7-facf-44a8-8044-5879221629d3,9100000000003,0227e815-ac9d-44fa-b6ad-84e4dc3d09e4,Customer 892,customer892@test.com,success,0.79,damaged,2025-03-20 17:00:26.143067
664f434e-7e0a-4624-96ba-d1b67d24e16c,9100000000004,027badce-4dfe-4821-925f-20e24a0b4e5c,Customer 36,customer36@test.com,success,82.02,wrong_item,2025-03-03 14:12:47.422277
9937feaa-d020-48e6-9046-dc73fde57711,9100000000005,03aade44-1d98-47ba-aa07-6d0f0cee5380,Customer 543,customer543@test.com,success,12.47,customer_return,2025-11-05 03:10:07.018527
339dc9e3-414f-4456-a995-e5f1965f0495,9100000000006,04158de5-6281-48a4-b30b-9f67821ed3e6,Customer 511,customer511@test.com,success,36.65,wrong_item,2025-07-07 04:35:21.310097
00ca169f-d4ce-4c5e-9dca-4a84328c552b,9100000000007,04b1cf97-da37-43e3-9e4f-8d17f191f035,Customer 937,customer937@test.com,success,35.07,customer_return,2025-10-27 14:58:37.216543
cc10ad3a-7601-47e2-8b9e-2883f6b091da,9100000000008,0505d6d5-cf10-4d5f-9010-284f1c12087a,Customer 790,customer790@test.com,success,70.38,damaged,2025-06-16 20:51:02.885399
33b4f572-ce6c-4f58-a883-1cd91a8cec06,9100000000009,0505d6d5-cf10-4d5f-9010-284f1c12087a,Customer 790,customer790@test.com,success,59.67,customer_return,2025-07-23 08:38:12.394403
66bc7d8c-7bcc-484c-93eb-96bcb7728b22,9100000000010,057d2020-c02c-4586-bb0c-e40fb8569dda,Customer 4,customer4@test.com,success,64.53,damaged,2025-04-26 20:37:49.666064
66c33e36-1f4e-4c71-bb3e-7a1d67be9666,9100000000011,05852023-a047-4f53-99ff-f1d0b3431fb2,Customer 899,customer899@test.com,success,120.28,customer_return,2025-05-06 12:01:05.302623
340b80d5-6d64-4ceb-82fe-4719523823ec,9100000000012,064e5d9b-c13f-4a97-8bb6-1c24d8c8a9ec,Customer 550,customer550@test.com,success,109.85,wrong_item,2025-07-08 17:40:01.927336
9a2a5ec2-b6d2-467e-8670-5fe1634d6672,9100000000013,0698b472-f31a-4357-bd9c-936ae362103e,Customer 895,customer895@test.com,success,100.84,customer_return,2025-02-17 11:46:51.083436
