order_id,order_number,customer_id,customer_name,customer_email,fulfillment_id,tracking_number,tracking_company,status,shipped_at
149c30ea-c823-42cf-ac38-6e89d0f11b33,#1001,7589f23a-def9-452b-be08-c06350428fca,Customer 454,customer454@test.com,8000000000001,TRK46658103,Delhivery,in_transit,2025-09-08 23:53:39.356065
b3d01bcb-7246-4e35-8a7c-ffc4494649ee,#1003,8baeff1f-8f73-4bc7-9a14-fede93ff99d3,Customer 879,customer879@test.com,8000000000002,TRK7958625,BlueDart,shipped,2025-08-23 06:53:23.297693
2c5bb115-ce91-4cdc-8cd6-fd68a07105bb,#1004,e2d8162f-7c1d-4fcc-aa1d-09b96f2d8c07,Customer 755,customer755@test.com,8000000000003,TRK92228735,BlueDart,in_transit,2025-05-17 03:18:23.994547
3a399624-5fee-4b74-9f02-47146d6bca32,#1008,26d7d5ae-e49e-446c-a23c-c5db066cf285,Customer 692,customer692@test.com,8000000000004,TRK28739148,Delhivery,delivered,2026-01-17 10:03:21.402691
ab014dba-f5eb-451a-96ed-e26d041406b0,#1009,59c84317-f23c-4707-9d31-d3124d734119,Customer 890,customer890@test.com,8000000000005,TRK39494235,Delhivery,delivered,2025-06-23 18:06:58.245999
7ab89663-a5be-482b-8fe7-b095fb929705,#1010,6c9b3646-6c38-43ae-8a28-59196ae2ba4c,Customer 526,customer526@test.com,8000000000006,TRK2657320,BlueDart,delivered,2025-12-01 02:18:58.486368
b56e78fd-0865-4565-9c21-9c798d1dac0d,#1011,968e2378-949c-471a-94fe-16498dc55016,Customer 980,customer980@test.com,8000000000007,TRK79210294,BlueDart,in_transit,2025-04-02 17:09:45.515607
3b13341b-7336-4e4b-b7a8-c079505f5c9e,#1012,2b0fc47b-cb70-4ed2-9e50-f93179144052,Customer 881,customer881@test.com,8000000000008,TRK66571713,DHL,delivered,2025-09-26 16:05:19.931385
6de73926-ae45-4cef-8c5b-ab0cdcf4bf16,#1013,289a79ef-6be5-4f80-a6a2-1c6ce04f8f0c,Customer 738,customer738@test.com,8000000000009,TRK20815907,FedEx,in_transit,2025-02-16 12:37:27.789792
c15d2d9b-49af-4035-9bb5-04f38bac1f93,#1014,d259b83d-da26-46e1-8200-c7479f996413,Customer 202,customer202@test.com,8000000000010,TRK5270316,DHL,delivered,2025-03-07 04:33:14.986323
ee77c0c2-dc98-4e48-b540-3350b3aff059,#1015,aee7480c-11bd-414c-b196-0875992d17ef,Customer 489,customer489@test.com,8000000000011,TRK23078857,FedEx,delivered,2025-11-06 02:44:38.649081
cf7926c1-3859-4169-8e36-1d27eece966b,#1016,1926032c-d350-46c3-b0c1-aee00f050d2e,Customer 778,customer778@test.com,8000000000012,TRK37611988,Delhivery,shipped,2025-09-15 05:01:29.415959
1489d2cd-7929-4acd-a83e-86415a254290,#1017,746f3cc1-a39a-460d-9c84-e6ceccb6b452,Customer 109,customer109@test.com,8000000000013,TRK40787589,BlueDart,delivered,2026-01-14 17:17:50.588841
7ca7e991-3b00-47cb-b6ee-ee1033faabaa,#1019,78df8668-f7d2-4a3f-a4f7-596515d243b2,Customer 386,customer386@test.com,8000000000014,TRK3968934,Delhivery,in_transit,2025-04-23 09:09:22.799520
c2975cb7-7943-4bc3-a953-ed81a1a5e65d,#1021,d6161157-eb35-4208-8ad1-1e7ce52f7cde,Customer 328,customer328@test.com,8000000000015,TRK89641996,BlueDart,in_transit,2025-10-10 18:55:56.529668
4bce138b-c659-4ced-bd84-294bc51fe429,#1022,888a0ca6-bef8-4a94-9e0b-862917727515,Customer 787,customer787@test.com,8000000000016,TRK33791558,DHL,in_transit,2025-03-10 12:49:20.016419
