shop_id,customer_id,customer_name,customer_email,order_id,order_number,order_date,financial_status,fulfillment_status,total_price,currency,last_order_flag
3107dcbe-487b-4d2a-ac6c-893a3b081045,00ff51b5-a028-4151-adc9-6d4cb0ae64da,First152 Last152,customer152@test.com,cb2af769-590c-4df6-9463-0900b75440ff,#4618,2026-01-17 09:42:28.849518+05:30,paid,partial,21.53,USD,1
3107dcbe-487b-4d2a-ac6c-893a3b081045,00ff51b5-a028-4151-adc9-6d4cb0ae64da,First152 Last152,customer152@test.com,000c8294-04b9-445d-87fd-05c4dcc59daa,#1781,2025-11-19 05:49:13.809728+05:30,paid,fulfilled,15.04,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,00ff51b5-a028-4151-adc9-6d4cb0ae64da,First152 Last152,customer152@test.com,98e482f9-6951-4d30-98f4-bf964e64b94d,#2795,2025-09-16 22:58:52.402506+05:30,refunded,partial,169.24,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,00ff51b5-a028-4151-adc9-6d4cb0ae64da,First152 Last152,customer152@test.com,32efe6f0-3f49-4dbf-896a-25e13f4f936c,#2114,2025-06-25 15:01:09.965512+05:30,pending,partial,72.96,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,00ff51b5-a028-4151-adc9-6d4cb0ae64da,First152 Last152,customer152@test.com,6626522f-02b0-4db6-a172-8d09c6aa1b56,#1111,2025-03-14 00:45:38.574341+05:30,refunded,unfulfilled,128.49,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,01f1d56d-15fe-4481-aecc-a64763447d6a,First988 Last988,customer988@test.com,cb2b1bae-a0de-4a88-a013-46230c88fb75,#2658,2025-10-21 01:43:17.762944+05:30,partially_paid,fulfilled,86.14,USD,1
3107dcbe-487b-4d2a-ac6c-893a3b081045,01f1d56d-15fe-4481-aecc-a64763447d6a,First988 Last988,customer988@test.com,32f2bb8e-d665-4c97-a155-79714fc53983,#3282,2025-09-24 15:09:10.443413+05:30,pending,unfulfilled,91.50,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,01f1d56d-15fe-4481-aecc-a64763447d6a,First988 Last988,customer988@test.com,98fcbd20-4322-43c0-91a3-89e269bf85fa,#1423,2025-05-28 21:48:41.163313+05:30,pending,fulfilled,163.29,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,01f1d56d-15fe-4481-aecc-a64763447d6a,First988 Last988,customer988@test.com,662ea62f-4165-4a87-899b-d00b719fcd2f,#3482,2025-05-27 23:27:13.390135+05:30,pending,unfulfilled,136.93,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,01f1d56d-15fe-4481-aecc-a64763447d6a,First988 Last988,customer988@test.com,00140a49-ed4b-4c77-8b6b-4122d96bddb7,#3643,2025-05-19 13:54:18.623570+05:30,refunded,partial,7.62,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,0227e815-ac9d-44fa-b6ad-84e4dc3d09e4,First892 Last892,customer892@test.com,cb2c5e78-fc3d-4656-bb19-485604fe00ed,#1883,2025-12-12 02:17:06.237734+05:30,partially_paid,unfulfilled,133.67,USD,1
3107dcbe-487b-4d2a-ac6c-893a3b081045,0227e815-ac9d-44fa-b6ad-84e4dc3d09e4,First892 Last892,customer892@test.com,98fda6f8-a0fc-4c68-b8f8-0f58aa40d102,#3139,2025-11-19 10:59:06.500944+05:30,pending,unfulfilled,122.69,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,0227e815-ac9d-44fa-b6ad-84e4dc3d09e4,First892 Last892,customer892@test.com,32f452e2-c266-4315-ac2d-a93a00812223,#2859,2025-10-08 14:42:00.083510+05:30,paid,partial,83.13,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,0227e815-ac9d-44fa-b6ad-84e4dc3d09e4,First892 Last892,customer892@test.com,001e4440-3995-4e54-868f-da70e4caae74,#2223,2025-07-22 16:08:16.988675+05:30,refunded,unfulfilled,30.01,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,0227e815-ac9d-44fa-b6ad-84e4dc3d09e4,First892 Last892,customer892@test.com,663e11d7-facf-44a8-8044-5879221629d3,#1822,2025-03-15 17:00:26.143067+05:30,paid,unfulfilled,1.58,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,027badce-4dfe-4821-925f-20e24a0b4e5c,First36 Last36,customer36@test.com,00466d50-5cea-4bcb-906b-e3af59dfa7ee,#1515,2025-11-30 07:53:05.507494+05:30,refunded,fulfilled,100.22,USD,1
3107dcbe-487b-4d2a-ac6c-893a3b081045,027badce-4dfe-4821-925f-20e24a0b4e5c,First36 Last36,customer36@test.com,33276fd0-b7c2-488f-810a-caeab5bdf771,#5269,2025-10-04 09:31:22.387804+05:30,refunded,partial,98.92,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,027badce-4dfe-4821-925f-20e24a0b4e5c,First36 Last36,customer36@test.com,9918a1e1-9f59-4a56-b4d5-bce9d12f58ce,#1165,2025-04-25 12:48:49.659604+05:30,pending,partial,110.80,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,027badce-4dfe-4821-925f-20e24a0b4e5c,First36 Last36,customer36@test.com,cb3ff93e-68eb-4638-b627-91f35aff54f4,#4461,2025-04-02 05:39:21.691439+05:30,pending,fulfilled,157.79,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,027badce-4dfe-4821-925f-20e24a0b4e5c,First36 Last36,customer36@test.com,664f434e-7e0a-4624-96ba-d1b67d24e16c,#5295,2025-02-26 14:12:47.422277+05:30,paid,partial,82.02,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,02fb8cee-0213-42f5-81da-9852f7b6adf7,First542 Last542,customer542@test.com,0064fb44-46b1-43b0-9220-28d4f4f2076d,#2644,2026-01-25 03:24:28.085843+05:30,partially_paid,fulfilled,57.87,USD,1
3107dcbe-487b-4d2a-ac6c-893a3b081045,02fb8cee-0213-42f5-81da-9852f7b6adf7,First542 Last542,customer542@test.com,9919dac5-c034-47c7-af04-adc4b0b43702,#5685,2025-11-18 07:57:29.010637+05:30,partially_paid,fulfilled,192.74,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,02fb8cee-0213-42f5-81da-9852f7b6adf7,First542 Last542,customer542@test.com,cb40456c-a459-487c-a23f-59cbb3c4bf9e,#1110,2025-09-11 03:40:16.218624+05:30,partially_paid,partial,107.75,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,02fb8cee-0213-42f5-81da-9852f7b6adf7,First542 Last542,customer542@test.com,3330780e-a80f-489b-b6f8-76323e201504,#4914,2025-05-24 21:31:13.546799+05:30,pending,fulfilled,9.07,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,02fb8cee-0213-42f5-81da-9852f7b6adf7,First542 Last542,customer542@test.com,664fc6ca-6734-4d45-b40d-c08fdde37bd7,#3950,2025-04-03 13:10:16.996742+05:30,pending,unfulfilled,5.59,USD,0
3107dcbe-487b-4d2a-ac6c-893a3b081045,0331db04-a0ab-4b6a-921b-bdc1b851f144,First875 Last875,customer875@test.com,cb4ca893-d17c-4451-9ed1-95b68638f2bc,#3061,2026-02-01 03:41:40.814410+05:30,partially_paid,partial,56.96,USD,1
