shop_id,customer_id,customer_name,customer_email,customer_segment,lifetime_orders,lifetime_value,last_order_date,customer_status,ai_summary,sample_questions
3107dcbe-487b-4d2a-ac6c-893a3b081045,558ece4b-3468-4c7c-b6cb-7f2888947611,Customer 494,customer494@test.com,returning,5,648.0,2026-01-01 03:11:54.743912+05:30,active,returning customer with 5 orders and lifetime value 648.0,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,934a3cea-c3d5-4c0f-8526-ec6672b01d38,Customer 630,customer630@test.com,returning,5,500.05,2026-02-04 02:42:57.288602+05:30,active,returning customer with 5 orders and lifetime value 500.05,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,40d8616d-313c-41e5-9a73-3eee7428ee7d,Customer 149,customer149@test.com,returning,5,597.48,2025-10-20 11:21:34.149069+05:30,active,returning customer with 5 orders and lifetime value 597.48,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,6b402f17-91a8-4877-a2f4-51f9adff8b21,Customer 586,customer586@test.com,returning,5,455.43,2025-12-16 08:15:31.409074+05:30,active,returning customer with 5 orders and lifetime value 455.43,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,63562dad-6ef5-46d1-8cff-75b356951c13,Customer 942,customer942@test.com,returning,5,622.53,2026-01-05 14:51:43.487348+05:30,active,returning customer with 5 orders and lifetime value 622.53,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,590cc2d8-ee9e-46fb-bf14-42e0abb72326,Customer 799,customer799@test.com,returning,5,307.9,2025-11-26 17:01:28.737476+05:30,active,returning customer with 5 orders and lifetime value 307.9,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,867798a0-7f9b-4de6-ac61-5e41bbfed443,Customer 200,customer200@test.com,returning,5,447.4,2025-12-22 06:23:36.208061+05:30,active,returning customer with 5 orders and lifetime value 447.4,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,f5d57aa8-ed98-42eb-a1b3-2ee2ed03aa6f,Customer 772,customer772@test.com,returning,5,184.31,2025-11-09 22:01:36.499702+05:30,active,returning customer with 5 orders and lifetime value 184.31,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,b4ea3ab6-a37d-4343-9196-8ba844a38623,Customer 644,customer644@test.com,returning,5,577.61,2025-12-04 13:02:33.174566+05:30,active,returning customer with 5 orders and lifetime value 577.61,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,0397e67c-9913-4d83-a2a5-89d769dfc21a,Customer 621,customer621@test.com,returning,5,390.14,2025-10-31 05:56:11.553106+05:30,active,returning customer with 5 orders and lifetime value 390.14,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,5b68fcbe-5380-4737-bc73-8512f83ab31d,Customer 578,customer578@test.com,returning,5,430.17,2025-11-01 00:04:54.918677+05:30,active,returning customer with 5 orders and lifetime value 430.17,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,2d1c3830-fb38-4170-b03d-b1d0e59e8e6b,Customer 851,customer851@test.com,returning,5,244.33,2025-12-28 22:37:11.447488+05:30,active,returning customer with 5 orders and lifetime value 244.33,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,d8037080-7d8b-4510-acd9-07bb55e20a57,Customer 128,customer128@test.com,returning,5,473.71,2026-01-06 03:38:13.257316+05:30,active,returning customer with 5 orders and lifetime value 473.71,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,247caa8a-a3e5-4359-a8f5-9e09e3998825,Customer 379,customer379@test.com,returning,5,526.6,2025-06-24 03:58:54.916533+05:30,active,returning customer with 5 orders and lifetime value 526.6,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,95b519f0-f5ed-4c81-84bf-079803931c69,Customer 232,customer232@test.com,returning,5,579.16,2026-01-26 14:24:15.616119+05:30,active,returning customer with 5 orders and lifetime value 579.16,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,ebc4af55-a703-4c26-8bea-fec020045712,Customer 405,customer405@test.com,returning,5,461.75,2025-11-07 09:44:17.544250+05:30,active,returning customer with 5 orders and lifetime value 461.75,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,3daeb4ae-8a94-4c55-aa77-351135cfaeff,Customer 922,customer922@test.com,returning,5,471.04,2025-12-11 06:37:58.996512+05:30,active,returning customer with 5 orders and lifetime value 471.04,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,dadee005-f087-4649-b803-47191f0d5eea,Customer 233,customer233@test.com,returning,5,347.41,2026-01-10 15:24:32.073209+05:30,active,returning customer with 5 orders and lifetime value 347.41,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,be259b5f-104e-4504-a26d-f50f2a669b49,Customer 919,customer919@test.com,returning,5,589.13,2025-11-17 09:00:25.042532+05:30,active,returning customer with 5 orders and lifetime value 589.13,show my orders | last order | payment status | where is my order
3107dcbe-487b-4d2a-ac6c-893a3b081045,56a6f716-a0e6-4a2a-934a-80bbd69ebb06,Customer 398,customer398@test.com,returning,5,244.55,2025-11-21 03:23:47.573087+05:30,active,returning customer with 5 orders and lifetime value 244.55,show my orders | last order | payment status | where is my order
