order_id,order_number,customer_id,customer_name,customer_email,transaction_id,gateway,kind,status,amount,currency,processed_at
149c30ea-c823-42cf-ac38-6e89d0f11b33,#1001,7589f23a-def9-452b-be08-c06350428fca,Customer 454,customer454@test.com,6000000000003,stripe,sale,pending,105.65,,2025-09-06 23:53:39.356065+05:30
14dd5701-5681-493a-a9ba-45f37265b106,#1002,78df8668-f7d2-4a3f-a4f7-596515d243b2,Customer 386,customer386@test.com,6000000000004,paypal,sale,failure,128.18,,2025-09-26 23:46:27.647117+05:30
b3d01bcb-7246-4e35-8a7c-ffc4494649ee,#1003,8baeff1f-8f73-4bc7-9a14-fede93ff99d3,Customer 879,customer879@test.com,6000000000005,bogus,sale,pending,50.45,,2025-08-21 06:53:23.297693+05:30
2c5bb115-ce91-4cdc-8cd6-fd68a07105bb,#1004,e2d8162f-7c1d-4fcc-aa1d-09b96f2d8c07,Customer 755,customer755@test.com,6000000000006,bogus,sale,success,173.54,,2025-05-15 03:18:23.994547+05:30
dcea063c-882d-4c73-9831-dfe035604fe8,#1005,5de52cd5-1d66-4c8c-9f5f-db698258d784,Customer 837,customer837@test.com,6000000000007,paypal,sale,pending,112.45,,2025-10-15 03:36:14.426629+05:30
d7f2fef1-e053-4bd5-94b5-cb9c940a0147,#1006,411efb67-029d-4a8d-8df7-e84291ebb58d,Customer 812,customer812@test.com,6000000000008,bogus,sale,pending,195.82,,2025-06-04 05:46:40.285857+05:30
8b1be651-7b1a-4d1b-ae5c-eeb991cf31f5,#1007,bb1a730a-0d9c-4f38-bc4f-e85a8f1f8344,Customer 636,customer636@test.com,6000000000009,stripe,sale,failure,113.51,,2025-02-11 03:11:58.027661+05:30
3a399624-5fee-4b74-9f02-47146d6bca32,#1008,26d7d5ae-e49e-446c-a23c-c5db066cf285,Customer 692,customer692@test.com,6000000000010,paypal,sale,pending,35.57,,2026-01-15 10:03:21.402691+05:30
ab014dba-f5eb-451a-96ed-e26d041406b0,#1009,59c84317-f23c-4707-9d31-d3124d734119,Customer 890,customer890@test.com,6000000000011,stripe,sale,pending,31.43,,2025-06-21 18:06:58.245999+05:30
7ab89663-a5be-482b-8fe7-b095fb929705,#1010,6c9b3646-6c38-43ae-8a28-59196ae2ba4c,Customer 526,customer526@test.com,6000000000012,bogus,sale,success,95.65,,2025-11-29 02:18:58.486368+05:30
b56e78fd-0865-4565-9c21-9c798d1dac0d,#1011,968e2378-949c-471a-94fe-16498dc55016,Customer 980,customer980@test.com,6000000000013,paypal,sale,failure,95.95,,2025-03-31 17:09:45.515607+05:30
3b13341b-7336-4e4b-b7a8-c079505f5c9e,#1012,2b0fc47b-cb70-4ed2-9e50-f93179144052,Customer 881,customer881@test.com,6000000000014,stripe,sale,success,97.29,,2025-09-24 16:05:19.931385+05:30
6de73926-ae45-4cef-8c5b-ab0cdcf4bf16,#1013,289a79ef-6be5-4f80-a6a2-1c6ce04f8f0c,Customer 738,customer738@test.com,6000000000015,bogus,sale,pending,141.61,,2025-02-14 12:37:27.789792+05:30
c15d2d9b-49af-4035-9bb5-04f38bac1f93,#1014,d259b83d-da26-46e1-8200-c7479f996413,Customer 202,customer202@test.com,6000000000016,bogus,sale,failure,68.91,,2025-03-05 04:33:14.986323+05:30
ee77c0c2-dc98-4e48-b540-3350b3aff059,#1015,aee7480c-11bd-414c-b196-0875992d17ef,Customer 489,customer489@test.com,6000000000017,bogus,sale,success,82.44,,2025-11-04 02:44:38.649081+05:30
cf7926c1-3859-4169-8e36-1d27eece966b,#1016,1926032c-d350-46c3-b0c1-aee00f050d2e,Customer 778,customer778@test.com,6000000000018,paypal,sale,success,151.08,,2025-09-13 05:01:29.415959+05:30
1489d2cd-7929-4acd-a83e-86415a254290,#1017,746f3cc1-a39a-460d-9c84-e6ceccb6b452,Customer 109,customer109@test.com,6000000000019,paypal,sale,success,142.16,,2026-01-12 17:17:50.588841+05:30
1c01b213-b67f-47ff-8df1-74f32c203d0a,#1018,9c42484f-226a-4cb7-9265-8a5189192468,Customer 115,customer115@test.com,6000000000020,stripe,sale,pending,152.85,,2025-10-18 12:54:39.238319+05:30
